Station,Served by,Chainage (km),Lat,Long
Helensburgh,SCO,46.38,-34.17714736,150.9940859
Cowan,CCN,48.81,-33.5937893,151.1715651
Otford,SCO,52.639,-34.21072283,151.0055213
Stanwell Park,SCO,55.95,-34.22618328,150.9812344
Hawkesbury River,CCN,57.4,-33.54710145,151.2265988
Coalcliff,SCO,59.27,-34.24253571,150.977052
Scarborough,SCO,62.53,-34.26551615,150.9651941
Menangle Park,SHL,62.85,-34.10338507,150.7449509
Lapstone,BMT,63.62,-33.77355931,150.6426108
Menangle,SHL,65.33,-34.12585573,150.7440669
Coledale,SCO,66.23,-34.28989285,150.943031
Austinmer,SCO,68.59,-34.30650136,150.9289071
Blaxland,BMT,71.48,-33.74369934,150.6099627
Bulli,SCO,72.15,-34.33428666,150.9149143
Douglas Park,SHL,73.32,-34.18330344,150.7105388
Koolewong,CCN,74.82,-33.46613312,151.3184763
Bellambi,SCO,75.55,-34.36261281,150.9101311
Corrimal,SCO,76.99,-34.37549456,150.9051489
Point Clare,CCN,78.05,-33.44630072,151.3285267
Fairy Meadow,SCO,79.36,-34.39505996,150.8964522
Springwood,BMT,79.67,-33.69918984,150.5636973
Gosford,North Coast RegionNorth Western RegionCCN,80.91,-33.42348165,151.341911
North Wollongong,SCO,81.32,-34.41208744,150.8913264
Faulconbridge,BMT,82.96,-33.69678014,150.5349261
Coniston,SCO,84.1,-34.43796566,150.884845
Narara,CCN,84.6,-33.39459444,151.3444334
Picton,SHL,85.25,-34.17968277,150.6127042
Niagara Park,CCN,86.19,-33.38322824,151.3545729
Lysaghts,SCO,86.27,-34.4548118,150.8752141
Linden,BMT,86.81,-33.71474436,150.5043663
Cringila,SCO,87.65,-34.46737362,150.8782723
Lisarow,CCN,87.73,-33.38218451,151.3701793
Port Kembla North,SCO,88.77,-34.47312925,150.8870415
Port Kembla,SCO,90.24,-34.47718852,150.9028567
Ourimbah,CCN,90.61,-33.35937321,151.3697352
Kembla Grange,SCO,91.59,-34.47012644,150.8177961
Hazelbrook,BMT,93.47,-33.72367342,150.4539673
Dapto,SCO,95.05,-34.49307785,150.7918339
Lawson,BMT,96.04,-33.71943599,150.4294992
Bullaburra,BMT,97.69,-33.72351988,150.4152013
Bargo,SHL,102.87,-34.29097858,150.5801756
Albion Park,SCO,103.34,-34.56340933,150.79939
Oak Flats,SCO,105.13,-34.57173048,150.8202085
Leura,BMT,107.59,-33.71212061,150.3311289
Katoomba,Western RegionBMT,109.94,-33.71194806,150.3121686
Shellharbour Junction,SCO,110.66,-34.59128718,150.8446519
Minnamurra,SCO,113.37,-34.62633044,150.8530098
Medlow Bath,BMT,115.8,-33.67295305,150.2803919
Bombo,SCO,117.55,-34.65868669,150.8537686
Kiama,SCO,119.16,-34.67259919,150.8543663
Blackheath,BMT,120.67,-33.63400546,150.2842535
Morisset,CCN,123.33,-33.10903664,151.4882907
Mount Victoria,BMT,126.72,-33.58817529,150.256825
