Authors,Title,Year,DOI,ID method,Package,Num_trees,Communication of HTEs,Points of interest,Num_vars,Category
Deines J.M. et al.,Recent cover crop adoption is associated with small maize and soybean yield losses in the United States,2023,10.1111/gcb.16489,Observational with local centering,grf,2000,"Graph ITEs in a histogram
Graph along quantiles
PCA on most important variables.","Geo-spatial mapping of effects, splines for variable selection",,Environmental sciences & Agriculture
Zhu M.,The Effect of Political Participation of Chinese Citizens on Government Satisfaction: Based on Modified Causal Forest,2023,10.1016/j.procs.2023.08.086,Observational,MCF,,Graph across key variables,,13,Political science
Xue Q. et al.,Local green finance policies and corporate ESG performance,2023,10.1111/irfi.12417,DiD,,2000,,Main effects parallel trends does not imply parallel trends for all CATEs,,Economics
Venkatasubramaniam A. et al.,Comparison of causal forest and regression-based approaches to evaluate treatment effect heterogeneity: an application for type 2 diabetes precision medicine,2023,10.1186/s12911-023-02207-2,Observational,grf,5000,"Graph ITEs in a histogram
Graph predicted vs observed effects in future",Testing effects with prediction against future data,,Health & Medicine
Cui Y.; Davis A.M.,Tax-Induced Inequalities in the Sharing Economy,2022,10.1287/mnsc.2021.4277,"DiD, calculate changes",,10000,Graph along quantiles,,118,Economics
Brock J.M.; De Haas R.,Discriminatory Lending: Evidence from Bankers in the Lab,2023,10.1257/app.20210180,Experimental (randomise application gender),grf,20000,"Variable importance
Graph across key variables",,,Economics
Mao J. et al.,Sustainable development through green innovation and resource allocation in cities: Evidence from machine learning,2023,10.1002/sd.2516,Observational,grf,2000,Graph along quantiles,They average ITEs to get the ATE. This is not doubly robust estimation.,14,Urban studies
Wang G.,The Effect of Medicaid Expansion on Wait Time in the Emergency Department,2022,10.1287/mnsc.2021.4239,DiD,,5000,"Graph ITEs in a histogram
BLP",,,Health & Medicine
Murakami K. et al.,HETEROGENEOUS TREATMENT EFFECTS OF NUDGE AND REBATE: CAUSAL MACHINE LEARNING IN A FIELD EXPERIMENT ON ELECTRICITY CONSERVATION,2022,10.1111/iere.12589,Experimental,grf,,"Graph ITEs in a histogram
Variable importance
Slope test
Derive policy",,93,Economics
Edward J.A. et al.,Heterogeneous treatment effects of intensive glycemic control on major adverse cardiovascular events in the ACCORD and VADT trials: a machine-learning analysis,2022,10.1186/s12933-022-01496-7,Experimental,grf,5000,Single tree,,,Health & Medicine
Meath T.H.A. et al.,Hospital Characteristics Associated with Heterogeneity in Institutional Postacute Care Spending Reductions under the Comprehensive Care for Joint Replacement Model,2022,10.1001/jamahealthforum.2022.1657,Observational,grf,,,"Unclear if t-testing of above and below median CATEs, I suspect it's statistically invalid.",,Health & Medicine
Seitz K.P. et al.,Individualized Treatment Effects of Bougie versus Stylet for Tracheal Intubation in Critical Illness,2023,10.1164/rccm.202209-1799OC,Experimental,"grf, tools4uplift","2000 each model, 10,000 all up","Qini curve
Partial dependence plots
Quantiles of ITEs",Interesting use of Qini curve and partial dependence plots.,,Health & Medicine
Boutilier J.J. et al.,Can digital adherence technologies reduce inequity in tuberculosis treatment success? Evidence from a randomised controlled trial,2022,10.1136/bmjgh-2022-010512,Experimental,grf,5000,"Graph ITEs in a histogram
Graph probability of negative outcome",,,Health & Medicine
Kreif N. et al.,Estimating heterogeneous policy impacts using causal machine learning: a case study of health insurance reform in Indonesia,2022,10.1007/s10742-021-00259-3,Observational,grf,3000,"Graph ITEs in a histogram
Graph across key variables
Variable importance",,,Health & Medicine
Wang L. et al.,Befriended to polarise? The impact of friend identity on review polarisation—A quasi-experiment,2023,10.1111/isj.12425,DiD,,10000,Graph along quantiles,"This is an unusual approach, they use propensity scores and difference-in-differences for identification.",17,Political science
Zhan R. et al.,Targeting the Efficacy of Intensive Blood Pressure Treatment in Hypertensive Patients ― An Exploratory Analysis of SPRINT ―,2023,10.1253/circj.CJ-23-0037,RCT,,500,,,23,Health & Medicine
Hodler R. et al.,Institutions and the resource curse: New insights from causal machine learning,2023,10.1371/journal.pone.0284968,Observational,MCF,,"Graph across key variables
Variable importance",,47,Economics
Andor M.A. et al.,Information campaigns for residential energy conservation,2022,10.1016/j.euroecorev.2022.104094,RCT,,4000,"Quantiles of ITEs
Graph along quantiles",,,Economics
Goligher E.C. et al.,Heterogeneous Treatment Effects of Therapeutic-Dose Heparin in Patients Hospitalized for COVID-19,2023,10.1001/jama.2023.3651,RCT,grf,,"SHAP
Graph across quantiles",Use of SHAP,,Health & Medicine
Zhang Z. et al.,Inferring heterogeneous treatment effects of work zones on crashes,2022,10.1016/j.aap.2022.106811,Observational (fixed effects),grf,3000,"Variable importance
Graph across key variables
BLP",,16,Other
Hu Z. et al.,Heterogeneity in the Effect of Environmental Protection Expenditure in China: Causal Inference from Machine Learning,2023,10.1080/1540496X.2022.2113331,Observational,grf,2000,Graph along quantiles,,12,Economics
Brooks J.M. et al.,Assessing the ability of an instrumental variable causal forest algorithm to personalize treatment evidence using observational data: the case of early surgery for shoulder fracture,2022,10.1186/s12874-022-01663-0,IV,grf,5000,"Single tree
Estimate across quantiles",Only instrumental forest use.,,Health & Medicine
Allen J. et al.,Assessing incentives to increase digital payment acceptance and usage: A machine learning approach,2022,10.1371/journal.pone.0276203,Natural experiment? Seems to just be observational by country.,grf,,Graph across key variables,,,Economics
