pub_date	title	venue	excerpt	paper_url	slides_url	type
1/1/2022	Mental health and wellbeing during the COVID-19 period in Australia ANU Centre for Social Research and Methods			https://apo.org.au/node/318500		report
1/1/2021	The wellbeing of Australia’s children			https://assets-us-01.kc-usercontent.com/99f113b4-e5f7-00d2-23c0-c83ca2e4cfa2/e0b64280-dd99-4237-9c69-eaebc2ff3ce7/Australian-Childrens-Wellbeing-Index-Report.pdf		report
1/1/2022	Wellbeing outcomes in Australia as lockdowns ease and cases increase–August 2022			https://apo.org.au/node/319629		report
1/1/2022	The relationship between COVID-19 policies and subjective wellbeing–August 2022 ANU Centre for Social Research and Methods			https://scholar.google.com/scholar?cluster=2747851349458022468&hl=en&oi=scholarr		report
1/1/2022	Mental health and wellbeing during the COVID-19 period in Australia			https://csrm.cass.anu.edu.au/sites/default/files/docs/2022/7/Mental_health_and_wellbeing_during_the_COVID-19_period.pdf		report
1/1/2020	Gender insights in the Solomon Islands: Findings from a two-province study using the Individual Deprivation Measure			https://scholar.google.com/scholar?cluster=5316405056839110626&hl=en&oi=scholarr		report
1/1/2024	Policy learning for many outcomes of interest: Combining optimal policy trees with multi-objective bayesian optimisation	Computational Economics	This explores the use of interpretable tree models with multi-objective Bayesian optimisation to explore policy eligibility trade-offs.	https://doi.org/10.1007/s10614-024-10722-1		article
1/1/2021	"Guidance note: Equality Insights and individual-level, gender-sensitive measurement of multidimensional poverty and inequality"			https://scholar.google.com/scholar?cluster=5395344983629044437&hl=en&oi=scholarr		report
1/1/2022	Variation in policy response to COVID-19 across Australian states and territories			https://www.bsg.ox.ac.uk/sites/default/files/2022-06/BSG-WP-046-2022.pdf		report
1/1/2023	Fairness Implications of Heterogeneous Treatment Effect Estimation with Machine Learning Methods in Policy-making	arXiv preprint arXiv:2309.00805		https://arxiv.org/pdf/2309.00805		preprint
1/1/2024	Transparency challenges in policy evaluation with causal machine learning: improving usability and accountability	Data & Policy	"This discusses issues around transparency when using causal forest models. It covers both the traditional concerns in machine learning around accountability around letting black-box models make decisions that affect people's lives, and also the need for transparency so decision-makers can actually understand the insights in the causal forest model. It argues that given models are largely not making decisions directly, the greater concern is that models are transparent enough the be usable. It discusses some techniques that could be used to address transparency issues."	https://doi.org/10.1017/dap.2024.35		article
1/1/2024	Causal machine learning in public policy evaluation--an application to the conditioning of cash transfers in Morocco	arXiv preprint arXiv:2401.07075		https://arxiv.org/pdf/2401.07075		preprint
1/1/2024	How do applied researchers use the Causal Forest? A methodological review of a method	arXiv preprint arXiv:2404.13356		https://arxiv.org/pdf/2404.13356		preprint
1/1/2024	Distilling interpretable causal trees from causal forests	arXiv preprint arXiv:2408.01023		https://arxiv.org/pdf/2408.01023		preprint
1/1/2023	Process evaluation of the Justice Housing Program			https://www.researchgate.net/profile/Edgar-Liu-3/publication/377239656_Process_evaluation_of_the_Justice_Housing_Program/links/659cd3a32468df72d3044426/Process-evaluation-of-the-Justice-Housing-Program.pdf		report
